#choosemydrug	synonym
Shock caused by a Severe Bacterial Infection	Sepsis
Deficient Activity of the Testis	-
Deficiency of Luteinizing Hormone-Releasing Hormone	-
Rare X Chromosome Abnormality - Klinefelter Syndrome	Klinefelter syndrome
Absence of Testicles	-
Overactive Bladder	Overactive bladder
Frequent Urination	Overactive bladder
Needing to Urinate Immediately	Overactive bladder
Urine Leakage When there is a Strong Desire to Void	Urinary incontinence
Inflammation of the Esophagus with Erosion	-
Medication Treatment for Healing Erosive Esophagitis	-
Stomach Ulcer from Aspirin or Ibuprofen-Like Drugs	Peptic ulcer
Disorder of the Connective Tissue	Mixed connective tissue disease
Inherited Periodic Paralysis	-
Brief Muscle Spasms in an Infant	-
Sleep Disturbance with Extreme Anxiety	Anxiety
Bronchitis caused by the Bacteria Staphylococcus Aureus	Bronchitis
Continuation Therapy for Acute Osteomyelitis	Osteomyelitis
Chronic Pain	-
Arthritis	Arthritis
A Type of Fast Heartbeat - Paroxysmal Atrial Tachycardia	Heart arrhythmias
Prevention of Seizures following Head Injury or Surgery	-
Seizures or Fits in Neurosurgery	-
Repeated Seizures with Unconsciousness Between Episodes	Epilepsy
Chronic Pain with Narcotic Drug Tolerance	-
Severe Pain with Opioid Tolerance	-
Diarrhea caused by Chemotherapy	Diarrhea
General Anesthesia	-
Problems with Bladder Control	Urinary incontinence
Difficult or Painful Urination	-
A Condition of Bladder Dysfunction from Nerve Disorder	-
Heart Disease from Problems with Part of the Heart Itself	-
Suddenly Serious Symptoms of Heart Failure	Heart Failure
Failure of the Heart to Maintain Adequate Circulation	Urinary tract infection
Blood Circulation Failure due to Serious Heart Condition	Heart Failure
Narcotic Addiction	Drug addiction
Prevention of Opiate Drug Abuse	Drug addiction
Sudden Drop in Blood Pressure	Low blood pressure (hypotension)
"Bacterial Infection due to Deer Fly, Flea &amp;amp; Tick Bites"	Lyme disease
Lyme Disease	Lyme disease
Bacterial Skin Infection - Yaws	-
Genital &amp;amp; Urinary Organs Infected by Chlamydia Trachomatis	Chlamydia
A Sexually Transmitted Disease due to Chlamydia	Chlamydia
Chronic and Contagious form of Conjunctivitis - Trachoma	Trachoma
Inflammation of the Gums and Mouth	Gingivitis
Preventive Treatment of Vivax Malaria	Malaria
Disease due to Bartonella Bacilliformis Bacteria	-
Infection due to Chlamydiae Species Bacteria	Chlamydia
Disease due to the Microorganism Rickettsia Tsutsugamushi	-
Infection caused by Leptospira Bacteria	-
Rocky Mountain Spotted Fever	Rocky Mountain spotted fever
Additional Medication for Inflammation Around the Teeth	Gingivitis 
Chlamydia Bacteria Infection of Part of a Testicle	Chlamydia
Dilation of the Blood Vessels of the Eye	-
Chronic Slow Progressing Ulcerative Granulomatous Disease	-
Prevention of Falciparum Malaria that is Resistant to Chloroquine	Malaria
Throat Irritation	Sore throat
Infection caused by the Bacteria Ehrlichia	Ehrlichiosis
Malaria	-
Arthritis in Lyme Disease	Lyme disease
Acute Gonorrhea of the Lower Genital and Urinary Organs	Gonorrhea
Treatment to Prevent Lyme Disease	Lyme disease
Nausea and Vomiting of Pregnancy	Nausea and Vomiting
"Disease with Hearing Loss, Ringing in the Ears &amp;amp; Dizziness"	Meniere's disease
Vitamin D Deficiency	rickets
Generalized Changes in Bone associated with Renal Failure	Acute kidney failure
Increased Hunger	-
Nausea and Vomiting After Surgery	Nausea and Vomiting
Excessive Sweating	Hyperhidrosis (excessive sweating)
Mild Pain associated with Arthritis	Arthritis
Extreme Apprehension or Fear of Social Interaction	Social anxiety disorder (social phobia)
Skin Inflammation due to Exposure to X-Rays or Gamma Rays	dermatitis
Inflammation of Lips due to Sunlight Exposure	-
Mucous Membrane White Spots or Patches	Leukoplakia
Eczema Skin Condition Resisting Treatment	Atopic dermatitis (eczema)
Bladder Wall Inflammation	Interstitial cystitis
Bladder Pain	Interstitial cystitis
Urinary Tract Irritation	Urinary tract infection
A Progressive Disease of the Thyroid Gland	-
Prevent Nausea and Vomiting After Surgery	Nausea and Vomiting
High Blood Pressure caused by Scleroderma	High blood pressure
Dysfunction of Left Ventricle of Heart Without Symptoms	-
Additional Medication to Treat Hives	Hives
Colon and Rectal Cancer that has Spread to Another Area	Colon cancer
Colorectal Carcinoma with Epidermal Growth Factor	Colon cancer
Cancer of Large Intestine with Wild-type K-ras Gene	Colon cancer
Acute Bacterial Infection of the Sinuses	Acute sinusitis
Throat Infection caused by Streptococcus Pneumoniae	strep throat
Whooping Cough	-
Pink Eye from Bacterial Infection	Pink eye (conjunctivitis)
Bacterial Infection of the Eyelid	Blepharitis
Bacterial Inflammation of Cornea and Covering of Eye	keratitis
Severe Trouble Sleeping	Insomnia
"Marked Inflammation of Urethra, the Canal that leads From the Bladder"	Cystitis
Pneumonia caused by the Bacteria Moraxella Catarrhalis	Pneumonia
Pneumonia caused by Mycoplasma Pneumoniae	Pneumonia
Recurrent Mucocutaneous Herpes Simplex in Human Immunodeficiency Virus Infected Patients	acquired immunodeficiency syndrome
Herpes Simplex Infection of Skin and Mucous Membranes	-
Shingles in Patients Without a Normal Immune System	shingles
Recurrent Infection caused by Herpes Simplex Virus	-
Recurrent Cold Sore	cold sore
Metastatic Breast Cancer Progression Post-Antiestrogen Therapy	Breast Cancer
Hormone Receptor Positive Postmenopausal Advanced Breast Cancer	Breast Cancer
Postmenopausal Advanced Breast Cancer Post-Antiestrogen Therapy	Breast Cancer
High Amount of Fats in the Blood	High cholesterol
Sedation with Ability to Respond to Stimulation or Speech	-
Regional Anesthesia for Labor Pain	-
Infection Within the Abdomen caused by Clostridium Bacteria	Clostridium difficile
Infection that causes Diarrhea - Giardiasis	Giardia infection (giardiasis)
Infection caused by Trichomoniasis Protozoa	Trichomoniasis
Peptic Ulcer due to Bacteria Helicobacter Pylori	Peptic ulcer
Infection caused by the Parasite Balantidium	Malaria
Infection Around a Tooth	-
Infection of a Woman's Reproductive Organs	-
Severe Intestinal Infection due to Entamoeba Histolytica	-
Severe Bloody Diarrhea from Antibiotics	Antibiotic-associated diarrhea
Rapid Onset of an Intestinal Infection due to Amebae	-
Bacterial Blood Infection caused by Clostridium	Clostridium difficile
Infection Following Vaginal Cuff Surgery	-
Sexual Transmitted Disease Exposure from Sexual Assault	Sexually transmitted diseases (STDs)
Infection caused by the Bacteria Anaerobes	-
Abscess of Fallopian Tube and Ovary caused by Bacteroides	-
Infection of Lining of the Uterus caused by Bacteroides	-
Infection caused by Bacteroides Fragilis Bacteria	-
Infection of Abdominal Cavity Lining due to Clostridium	Clostridium difficile
Sudden Recurrence/Intensity of Rapid Regular Heartbeats	Heart arrhythmias
Prevention of Paroxysmal Supraventricular Tachycardia	Heart arrhythmias
Pulmonary Arterial Hypertension	Pulmonary hypertension
Stones in the Urinary Tract	Bladder stones
Chronic Inflammation of the Nose Not due to Allergies	Nonallergic rhinitis
Blood Pressure Drop Upon Standing with Unknown Cause	-
Feeling Dizzy Upon Standing from Blood Pressure Drop	Orthostatic hypotension (postural hypotension)
Allergic Rhinitis Prevention	Hay fever
Infertility associated with the Lack of Ovulation	Female infertility
Ovary Follicle Stimulation for Assisted Fertility Procedures	-
Stimulation of Ovarian Follicle	Ovarian hyperstimulation syndrome
Inherited Disease Marked by Excretion of Sulfur in Urine	-
Additional Medication for Asthma Long-term Treatment	asthma
Diabetes During Pregnancy	Diabetes 
Osteoporosis caused by Glucocorticoid Drugs	Osteoporosis
Osteoporosis in Men due to Deficient Function of Testis	Osteoporosis
Condition Resulting from a Defective Immune System	Primary immunodeficiency
Chronic Inflammatory Demyelinating Polyradiculoneuropathy	-
Prevention of Cervical Cancer due to Human Papilloma Virus	HPV infection
Prevention of Genital Warts	Genital warts
Prevention of Vaginal Cancer due to Human Papilloma Virus	HPV infection
Prevention of Anal Cancer due to Human Papilloma Virus	HPV infection
Gas	Gas and gas pains
Cancer of Gallbladder or Bile Ducts	Gallbladder cancer
Agitation associated with Schizophrenia	Schizophrenia
Philadelphia Chromosome Positive Chronic Myelocytic Leukemia	Chronic myelogenous leukemia
Type of Leukemia - Chronic Myelogenous Leukemia	Chronic myelogenous leukemia
Stromal Tumor of Stomach or Intestines	Stomach cancer
Chronic Myelocytic Leukemia in the Accelerated Phase	Chronic myelogenous leukemia
Philadelphia Chromosome Positive Acute Lymphoid Leukemia	Leukemia
Chronic Phase Chronic Myeloid Leukemia	Chronic myelogenous leukemia
Prevention of Type 2 Diabetes Mellitus	Type 2 diabetes
Ringworm of Scalp	Ringworm (scalp)
Fungal Infection of Toenails	Nail fungus
Fungal Infection of Fingernails - Onychomycosis	Nail fungus
Over Excitement	-
Aggressive Behavior	-
Problem Behavior	-
Chronic Type of Schizophrenia	Schizophrenia
Brief Episode of Schizophrenia with Rapid Onset	Schizophrenia
A Rare Developmental Disorder of Infants	-
Psychosis caused by a Drug	-
Psychosis caused by a Disease	-
Behaving with Excessive Cheerfulness and Activity	-
Serious Blood Clotting Problem	Factor V Leiden
HER2 Positive Breast Cancer	Breast cancer
Urinary Tract Infection	Urinary tract infection
Primary Immune Deficiency Disorder	Primary immunodeficiency
Additional Medication to Treat Partial Seizures	-
Severe Combined Immunodeficiency Disease	-
Hypogammaglobulinemia associated with Recurrent Bacterial Infections	-
Common Variable Agammaglobulinemia	-
Guillain-Barre Syndrome	Guillain-Barre Syndrome
Myasthenia Gravis	Myasthenia gravis
Low Platelet Count and Bleeding from Immune Response	Thrombocytopenia (low platelet count)
Absence of Gamma Globulins in the Blood	Primary immunodeficiency
Prevention of Bacterial Infection in Chronic Lymphocytic Leukemia	Chronic lymphocytic leukemia
Diarrhea due to Inflammatory Bowel Disease	Inflammatory bowel disease (IBD)
Inflammatory Bowel Disease	Inflammatory bowel disease (IBD)
Prevent of Transplant Rejection	-
Liver Inflammation caused by Body's Own Immune Response	Autoimmune hepatitis
Prevent Kidney Transplant Rejection	-
Inflammation of Multiple Voluntary Muscles	Polymyositis
Nausea and Vomiting During an Operation	Nausea and Vomiting
Chronic Hepatitis C	Hepatitis C
Prevent Bleeding Varicose Vein in the Esophagus	Esophageal varices
Severe Ulcerative Colitis	Ulcerative colitis
Cancer Involving the Kidney Cells	Kidney cancer
Acute Inflammation of the Liver due to Hepatitis C Virus	Hepatitis C
A Malignant Pigmented Mole or Tumor	Moles
Benign Tumor of the Larynx - Papilloma	-
Complicated Skin Infection	-
Complicated Infection in Abdomen	-
Abscess Within the Abdomen	-
Complicated Urinary Tract Infection caused by E. Coli	Urinary tract infection
Complicated Abdominal Cavity Lining Clostridium Infection	Clostridium difficile
Complicated Skin Infection due to Peptostreptococcus Bacteria	-
Pervasive Developmental Disorder	Pervasive Developmental Disorder
Schizophrenia With Mood Changes	Schizophrenia
Inactive Tuberculosis	Tuberculosis
Treatment to Prevent Tuberculosis	Tuberculosis
Prevention of Low Potassium in the Blood	Low potassium (hypokalemia)
Infection of the Prostate Gland caused by Klebsiella	Urinary tract infection
Inflammation of the Elbow and Surrounding Tissue	Tennis elbow
Skin Disease Characterized by Swollen Itching Lesions	Dermatitis
A Condition in which Hair Falls Out in Patches	Alopecia Areata
Benign Tumor in Tissue Connecting Muscles and Bones	Soft tissue sarcomas
Subacute Inflammation of the Bursa	Bursitis
Liver Tissue Death	-
Inflammation of Lung from Inhaling Something Irritating	-
Additional Medication for Myoclonic Epilepsy	-
Additional Medication for Tonic-Clonic Epilepsy	grand mal seizure
Additional Medications to Treat Pain	pain
Chronic Fungal Infection of Skin	Tinea versicolor
Fungal Infection of the Skin with Yellow Patches	Tinea versicolor
Fungal Skin Infection that Spreads to Bone/Lung/Joint/CNS	Tinea versicolor
Cushing's Syndrome	Cushing syndrome
Candidiasis Yeast Infection that Spreads Throughout Body	Yeast infection (vaginal)
Yeast Infection of Vagina and Vulva	Yeast infection (vaginal)
Ringworm of Groin Area	Jock itch
Severe Lower Back Pain from Kidney Stones	Kidney stones
Cryopyrin-Associated Periodic Syndromes	-
Impaired Brain Function due to Liver Disease	Alcoholic hepatitis
High Amount of Ammonium in the Blood	-
Inability of Body to Handle Lactose or Milk Sugar	Lactose intolerance
Fit	Epilepsy
Epilepsy of the Lennox Gastaut Syndrome	Epilepsy
Type 1 Diabetes Mellitus	Type 1 diabetes
Diabetes	Diabetes
High Blood Sugar	Hyperglycemia in diabetes
Increased Number of Eyelashes	-
Bacterial Infection with Bronchitis	Bronchitis
Acute Inflammation of the Maxillary Sinus	Acute sinusitis
Bacterial Infection of the Kidney and Renal Pelvis	Kidney infection
Bronchitis caused by the Bacteria Streptococcus Pneumoniae	Bronchitis
Bronchitis caused by the Bacteria Moraxella Catarrhalis	Bronchitis
Bronchitis caused by the Bacteria Haemophilus Influenzae	Bronchitis
Diabetes Mellitus with Severe Insulin Resistance	diabetes
Increased Production of Saliva	-
Skin Lesions that are Not Thick due to Sun Exposure	-
Medication to Aid Study of the Blood Flow in the Heart	-
Feeling of Apprehension Before an Operation	-
Local Loss of Feeling or Sensation from Anesthetic Drug	-
Nerve Pain after Herpes	Genital herpes
Mild Underactive Thyroid	Hypothyroidism
Simple Goiter	goiter
T3 Suppression for Thyroid Function Test	-
Failure of the Left Ventricle of the Heart	Heart Failure
Retinal Changes of Eye in a Patient with Diabetes	diabetes
Severe Uncontrolled High Blood Pressure	High blood pressure
Diarrhea Predominant Irritable Colon	Diarrhea
Prevention for Hardening of the Arteries	Arteriosclerosis
Prevention of Cardiac Ischemia Following Non-Q Wave MI	Myocardial ischemia
Unpredictable Severe Constricting Chest Pain	Chest pain
Deep Vein Thrombosis Prevention in Abdominal Surgery	Deep Vein Thrombosis
Bladder Infection caused by Enterobacter	Urinary tract infection
Infection of the Urinary Tract caused by Enterococcus	Urinary tract infection
Urinary Tract Infection caused by Staphylococcus Aureus	Urinary tract infection
Staphylococcus Saprophyticus Infection of Urinary Tract	Urinary tract infection
Low Amount of Magnesium in the Blood	-
Prevention of Falciparum Malaria	Malaria
Major Nerve Block for Surgery	-
Local Anesthesia for Surgery	-
Loss of Appetite with HIV	acquired immunodeficiency syndrome
Eye Disorder	-
Erythema Multiforme	Stevens-Johnson syndrome
"Disease with Enlarged Lymph Tissue, Spleen and Liver"	Hodgkin's disease
Abnormal Uterine Bleeding caused by Imbalance of Hormones	-
Absence of Menstrual Periods in Woman Who Has Had Them	Amenorrhea
Test for the Presence of Estrogen in the Body	-
Prevention of Abnormal Growth in Cells of Uterine Lining	Endometrial cancer
Post-Menopausal Symptoms	Menopause
Falciparum Malaria Resistant to the Medication Chloroquine	Malaria
Metastatic Endometrial Carcinoma	-
AIDS with Toxoplasmosis	Toxoplasmosis
PCP Prophylaxis	-
Acute Promyelocytic Leukemia	Acute myelogenous leukemia
Type of Leukemia - Acute Lymphocytic Leukemia	Acute lymphocytic leukemia
Hemorrhage Following Abortion	-
Incomplete Abortion	-
Hemorrhage Following Delivery of Baby	-
Overactive Thyroid Gland	Hyperthyroidism
Symptoms arising in Severe Thyrotoxicosis Thyroid Crisis	Hyperthyroidism
Additional Medication for Tetanus	Tetanus
Chronic Malignant T-Cell Lymphoma of the Skin	-
Pregnancy Located Outside of Womb; Often in Fallopian Tube	-
Disease of Respiratory Tract - Wegener's Granulomatosis	Wegener's granulomatosis
Disease causing Arthritis &amp;amp; Urethral &amp;amp; Eyelid Inflammation	Reactive arthritis
Inflammation of the Heart	Pericarditis
Failure of Small Intestines to Digest and Absorb Food	-
Hiccups	Hiccups
Stomach Muscle Paralysis and Decreased Function from Diabetes	diabetes
Rapid Irregular Heart Beat - Ectopic Atrial Tachycardia	Heart arrhythmias
Anxiety associated with an Operation	-
Chronic Post Traumatic Stress Disorder with Trauma-related Nightmares	Post-traumatic stress disorder (PTSD)
Hair Loss	Hair Loss
Induction of Cervical Softening and Dilation in Labor	-
Abortion	-
Sleepiness Due To Obstructive Sleep Apnea	Obstructive sleep apnea
Infection due to unusual Mycobacteria	-
Excessive Hairiness	Hirsutism
Abnormally Increased Pressure in the Veins of the Liver	-
Toxic Amount of Narcotics in the Body	Drug addiction
Decrease in Rate &amp;amp; Depth of Breathing due to Opioid Drug	-
Cancer of the Uterus	Endometrial cancer
Decrease of Neutrophils in the Blood from Cancer Chemotherapy	Neutropenia
Prevent Decreased White Blood Cell Count from Cancer Chemotherapy	Neutropenia
Severe Chronic Decrease of Neutrophils in the Blood	Neutropenia
"Congenital Deficiency of Neutrophils, a White Blood Cell"	Neutropenia
Neutrophils Decreased by Medication	Neutropenia
Decrease in Neutrophils of Unknown Cause	Neutropenia
Bone Marrow Graft Acceptance	-
Postoperative Pain in Eye	-
Inflammation of the Eye Following Surgery	-
Liver Cell Cancer	Liver cancer 
Zollinger-Ellison Syndrome	Zollinger-Ellison syndrome
Deficiency of the Vitamin Niacin	-
Nicotine Addiction	Drug addiction
Inflammation and Infection of Nail Cuticle	-
Test Performed to Diagnose Growth Hormone Problems	-
Diabetic Ketoacidosis	Diabetic ketoacidosis
Skin Disease of the Scalp	Dandruff
Skin Inflammation	dermatitis
Coin Shaped Rash	-
Inflammation of the Eye	Uveitis
Severe Inflammation of the Eye	Uveitis
Excessive Vomiting in Pregnancy	-
Prevent Radiation-Induced Nausea and Vomiting	-
Anxiety due to Heart Disease with Difficulty Breathing	-
Red Eyes	Pink eye (conjunctivitis)
Eye Itching	Pink eye (conjunctivitis)
Infiltration of White Blood Cells into the Lungs	-
Allergic Bronchopulmonary Aspergillosis - Fungal Infection	Aspergillosis
Vocal Cord Swelling	Laryngitis
Knee Damage causing Pain and Loss of Function	Knee pain
Breast Cancer that has Spread to the Bones	Breast Cancer
Cancer Metastasis to Bone	Bone metastasis
Lesions in the Bone of the Disease Multiple Myeloma	Multiple myeloma
Paget's Disease of Bone	Paget's Disease of Bone
Glucocorticoid-Induced Osteoporosis Prevention	Osteoporosis
Codeine/Morphine-Like Drug Dependence of a Newborn	Drug addiction
Premenstrual Disorder with a State of Unhappiness	-
Fungal Disease of the Nails	Nail fungus
Peripheral Vascular Disease	Peripheral artery disease
Treatment to Prevent Heartburn	Heartburn
Inflammation of the Stomach Lining caused by H. Pylori	Gastritis
Loss of Appetite	-
Serotonin Syndrome - Adverse Drug Interaction	Serotonin Syndrome
Short-term Adjunct Treatment of Obesity in a Comprehensive Weight Reduction Regimen	Obesity
High Amount of Phosphate in the Blood	-
Renal Osteodystrophy with Hyperphosphatemia	Chronic kidney failure
Dry Mouth Secondary to Sjogren's Syndrome	Sjogren's Syndrome
Dry Mouth	Dry Mouth
Dry Mouth caused by Radiation Therapy	Dry Mouth
Use of Drugs or Surgical Procedures to Begin Labor Process	
Skin Allergy to Sunlight	Sun allergy 
Increased Calcium in the Blood from Sarcoidosis	Sarcoidosis
Preventive Treatment of Ovale Malaria	Malaria
Inflammation of Blood Vessels in the Skin	Vasculitis
Acute ST Elevation Myocardial Infarction	Heart attack
Prevention of Streptococcus Pneumoniae Infection	Pneumonia
Inflammation of Eyelid Edges and the Lining of the Eye	Blepharitis
Calcium Oxalate Kidney Stones	Kidney stones
Calcium Phosphate Kidney Stones	Kidney stones
Inflammation of the Iris - the Colored Part of the Eyeball	Iritis
Prevent Inflammation of the Cornea due to the Medication Cytarabine	Keratitis
Inflammation of the Uvea of the Eye	Uveitis
Infection of the Cornea of the Eye due to Herpes Zoster	Keratitis
Inflammation of the Iris and Ciliary Body of the Eye	Iritis
Dotted Lesions or Damage on Cornea of Eye	Fuchs' dystrophy
Diabetic Complication causing Injury to some Body Nerves	diabetes
Painful Sexual Intercourse due to Menopause	Menopause
Wheezing	asthma
Excessive Involuntary Trembling	Essential tremor
Simple Seizure	-
Early Labor	-
Anemia associated with Frequent Blood Donation	anemia
Reduction of Allogeneic Blood Transfusion in Surgery	-
Prevention of Liver Transplant Rejection	-
Prevention of Lung Transplant Rejection	-
Body's Rejection of a Transplanted Organ	-
Rejection of Liver Transplant	-
Prevention of Cardiac Transplant Rejection	-
Management of Body's Rejection to a Transplanted Kidney	-
Severe Low Platelet Count in Unresponsive Chronic ITP	Idiopathic thrombocytopenic purpura
Sedation associated with Childbirth	-
Overactive Thyroid Gland in Newborn	Hyperthyroidism
Sleepiness Due To Shift Work Sleep Disorder	-
Depression following Delivery of Baby	Postpartum depression
Anorexia Nervosa	Anorexia Nervosa
Depressed Mood Disorder Occurring Every Year at the Same Time	Seasonal affective disorder
Premature Ejection of Semen	-
Moderate to Severe Plaque Psoriasis	Psoriasis
Additional X-Rays of the Stomach or Intestines	-
Aspiration Pneumonia Prevention	Pneumonia
Insertion of a Tube Into the Intestine or Stomach	-
The Flu	Influenza
Influenza Prevention	Influenza
Opiate Pain Medication causing Severe Constipation	-
Severe Psoriasis that is Resistant to Treatment	Psoriasis
Crohn's Disease with Fistulas Developing in Intestines	Crohn's Disease
Severe Type of Inflammatory Bowel Disease-Crohn's Disease	Crohn's Disease
Fine Wrinkling	Wrinkles
Fine Wrinkling of the Face	Wrinkles
Thickening of the Outer Horny Layer of the Skin	-
Bone Marrow Disorders Occurring Before Leukemia	Leukemia
Bacterial Infection due to Staphylococcus	staph infections
TB involving the Lungs	Tuberculosis
Lou Gehrig's Disease	Amyotrophic lateral sclerosis
Waldenstrom's Macroglobulinemia	-
Follicular B-Cell Lymphoma	Follicular lymphoma
Type of Leukemia - Chronic Lymphocytic Leukemia	Chronic lymphocytic leukemia
Mantle Cell Lymphoma	Non-Hodgkin's lymphoma
CD20 Positive Non-Hodgkin's Lymphoma	Non-Hodgkin's lymphoma
Progressive Chronic Lymphocytic Leukemia	Chronic lymphocytic leukemia
Recurrent or Resistant to Treatment Non-Hodgkin's Lymphoma	Non-Hodgkin's lymphoma
Skin Infection due to Staphylococcus Epidermidis Bacteria	staph infections
Lower Respiratory Tract Infection	-
Blood Infection caused by Streptococcus Bacteria	-
Blood Infection caused by Staphylococcus Bacteria	-
Pediatric Fever without a Source	-
Lyme Disease of the Central Nervous System	Lyme disease
Acute Gonorrhea of the Cervix	Gonorrhea
Bone Infection caused by Klebsiella Pneumoniae Bacteria	-
Pneumonia caused by Gram-Negative Bacteria	Pneumonia
Bacterial Meningitis	Meningitis
Bacteria causing an Infection in the Joints	Joint infections
Infection of a Joint caused by Staphylococcus Aureus	Joint infections
Carcinoid Syndrome	Carcinoid syndrome
Carcinoid Crisis	Carcinoid syndrome
Syndrome After Rapid Passage of Food Into Small Intestine	Dumping syndrome
"Increased Size of Hands, Feet and Face"	Acromegaly
Pancreatic Tumor causing Excessive Secretion of Insulin	-
Severe Burn	burns
Diaper Rash	Diaper rash
Ventricular Premature Beats	Ectopic heartbeat
Hyperparathyroidism caused by Chronic Renal Failure with Dialysis	Hyperparathyroidism
Increased Calcium in Blood due to Parathyroid Cancer	Hyperparathyroidism
High Amount of Calcium in the Blood from Increased Activity of the Parathyroid Gland	Hyperparathyroidism
Injection to cause Local Loss of Feeling or Numbness	-
Administration of Local Anesthetic Nerve Block	-
Typhoid Fever	Typhoid Fever
An Infection in a Burn Wound	-
Minor Skin Infection caused by Bacteria	-
Joint Capsule Membrane Inflammation of a Diseased Joint	-
Fluid in the Lungs	Pulmonary edema
A Rare Hereditary Skin Condition	-
Intestinal Infection caused by the Roundworm Strongyloides	-
Intraductal Breast Cancer	Breast Cancer
Enlarged Breasts	Enlarged breasts in men
Breast Tenderness	-
Excessive Pigmentation of Facial Skin	-
Small Brown Spots on Facial Skin	-
Malignant Brain Tumor Glioblastoma	Brain tumor
A Type of Brain Cancer - Anaplastic Astrocytoma	Brain tumor
Metastatic Malignant Melanoma	Melanoma
Pituitary Hormone Deficiency	-
Primary Testicular Failure due to Torsion of Both Testis	Testicular torsion
Myotonia Congenita	-
Undescended Testicle	Undescended testicle
Anemia	anemia
Acute Gonorrhea of the Urethra	Gonorrhea
Female Urethral Syndrome	-
Treatment to Prevent Recurrent Aphthous Stomatitis	Canker sore
Apprehension	Anxiety
Atrial Flutter Electrically Shocked to Normal Rhythm	Atrial fibrillation
Generalized Attack of Muscular Weakness	-
Indolent B-Cell Lymphoma	Non-Hodgkin's lymphoma
Varying Shades of Excessive Coloration of a Body Part	-
Yellow-Brown Patches on Skin	-
Kidney Stones caused by Cystine	kidney stones
Inflammation with Fibrous Tissue Formation of Bile Ducts	Cystic fibrosis
Complications of Liver &amp;amp; Bile Ducts due to Cystic Fibrosis	Cystic fibrosis
Hardening of Liver and Blockage of Bile Ducts	-
Prevention of CMV Infection Post Kidney Transplant	-
Cytomegalovirus Infection of the Retina in AIDS patients	Cytomegalovirus (CMV) infection
Prevention of Cytomegalovirus Disease After Kidney-Pancreas Transplantation	Cytomegalovirus (CMV) infection
Acute Repetitive Seizures	-
Suppression of Recurrent Herpes Simplex Infection in HIV	acquired immunodeficiency syndrome
Infection of Intestines caused by Staphylococcal Bacteria	Staph infections
Infection Occurring During or Soon After an Operation	-
Infection of the Brain or Spinal Cord caused by Anthrax	Anthrax
Severe Infection caused by Staphylococcal Bacteria	Staph infections
Skin Infection caused by Anthrax	Anthrax
Infection of an Artificial Heart Valve	Endocarditis
Bacterial Infection of Heart Valve	Endocarditis
Bacterial Meningitis caused by Streptococcus	Meningitis
Diphtheric Infection of the Heart	-
Bacterial Meningitis caused by Staphylococcus	Meningitis
Red Lesions of Skin caused by Group A Streptococcus	-
Pneumonia caused by the Bacteria Anthrax	Anthrax
Increased Facial Hair in a Woman	Hirsutism
Puberty at an Earlier Age than would be expected	Precocious puberty
External Genital Warts	Genital warts
Hookworm Infection caused by Ancylostoma Duodenale	-
Pinworm Infection	Pinworm infection
Tapeworm Infection - Unilocular Hydatid Disease	Tapeworm infection
Induce Temporary Amnesia	amnesia
Ulcer of the Cornea of the Eye with Bacterial Infection	-
Severe Itching	Dermatitis
Prevention of Vitamin B12 Deficiency	Vitamin deficiency anemia
Anemia caused by Vitamin B12 Deficiency-Pernicious Anemia	Vitamin deficiency anemia
Inadequate Vitamin B12	Vitamin deficiency anemia
Low Energy	-
Drowsiness	-
Additional Medication for Diabetes Type 2	Type 2 diabetes
Lymph Node Positive Colon Cancer	Colon cancer
Diarrhea caused by E. Coli Bacteria	Diarrhea
Treatment to Prevent Traveler's Diarrhea	Diarrhea
Traveler's Diarrhea	Diarrhea
Sepsis Syndrome	Sepsis
Allergic Asthma that is Resistant to Treatment	Asthma
Excess Absorption of Diet Plant and Shellfish Sterols and Cholesterol	-
Pneumonia caused by the Bacteria Chlamydia	Pneumonia
Additional Destruction of the Inner Wall of the Uterus	Uterine fibroids
Increased Calcium in the Blood from Cancer	Hypercalcemia 
Cancer that has Spread To the Bone From Solid Tumors	Bone metastasis
Prevent Osteoporosis caused by Anti-Androgen Drugs	Osteoporosis
Prevention of Shingles	shingles
Complicated Appendicitis caused by Bacteroides Bacteria	Appendicitis
Appendicitis	Appendicitis
Infection of Abdominal Cavity Lining due to Bacteroides	Peritonitis
E. Coli Bacteria Infection of Abdominal Cavity Lining	Peritonitis
